,Car Name,Kilometers Driven,Fuel Type,Transmission Type,Price,City,Year,Brand
189,Mahindra Thar,"6,000 km",Petrol,Automatic,Rs. 14.99 Lakh,New Delhi,2023,Mahindra
190,Maruti Suzuki Celerio,"31,000 km",Petrol,AMT,Rs. 5.3 Lakh,New Delhi,2020,Maruti
191,Hyundai Creta,"31,000 km",Petrol,Manual,Rs. 10.9 Lakh,New Delhi,2020,Hyundai
192,Hyundai Creta,"44,000 km",Diesel,Manual,Rs. 11.25 Lakh,New Delhi,2021,Hyundai
193,MG Hector,"48,000 km",Petrol,Automatic,Rs. 13.99 Lakh,New Delhi,2020,MG
194,Maruti Suzuki Wagon R,"55,169 km",Petrol+CNG,Manual,Rs. 5.4 Lakh,New Delhi,2020,Maruti
195,Datsun Redi GO,"42,800 km",Petrol,Manual,Rs. 2.5 Lakh,New Delhi,2016,Datsun
196,Hyundai Grand i10,"44,500 km",Petrol,Manual,Rs. 4.65 Lakh,New Delhi,2017,Hyundai
197,Mahindra XUV300,"45,890 km",Diesel,Manual,Rs. 7.85 Lakh,New Delhi,2019,Mahindra
198,Maruti Suzuki Ertiga,"47,563 km",Petrol,Manual,Rs. 8.75 Lakh,New Delhi,2019,Maruti
199,Maruti Suzuki Ignis,"64,499 km",Petrol,Manual,Rs. 4.75 Lakh,New Delhi,2019,Maruti
200,Honda Amaze,"58,682 km",Petrol,Manual,Rs. 4.75 Lakh,New Delhi,2017,Honda
201,Maruti Suzuki Celerio,"60,967 km",Petrol+CNG,Manual,Rs. 4.95 Lakh,New Delhi,2020,Maruti
202,Hyundai Xcent,"63,727 km",Petrol,Automatic,Rs. 5.25 Lakh,New Delhi,2017,Hyundai
203,Hyundai Creta,"81,000 km",Diesel,Manual,Rs. 7.65 Lakh,New Delhi,2018,Hyundai
204,Hyundai Creta,"53,847 km",Diesel,Manual,Rs. 8.35 Lakh,New Delhi,2018,Hyundai
205,Nissan Micra Active,"43,069 km",Petrol,Manual,Rs. 2.65 Lakh,New Delhi,2013,Nissan
206,Honda Jazz,"67,000 km",Petrol,Manual,Rs. 4.88 Lakh,New Delhi,2016,Honda
207,Hyundai Creta,"81,000 km",Diesel,Automatic,Rs. 10 Lakh,New Delhi,2018,Hyundai
208,Kia Seltos,"66,611 km",Diesel,Manual,Rs. 10.25 Lakh,New Delhi,2020,Kia
209,Mahindra XUV300,"13,753 km",Petrol,Manual,Rs. 10.5 Lakh,New Delhi,2022,Mahindra
210,Maruti Suzuki Wagon R,"27,522 km",Petrol+CNG,Manual,Rs. 4.25 Lakh,Mumbai,2017,Maruti
211,Honda City,"29,960 km",Petrol,Automatic,Rs. 8.75 Lakh,Mumbai,2019,Honda
212,Maruti Suzuki Swift DZire,"46,569 km",Petrol,AMT,Rs. 6.35 Lakh,Mumbai,2017,Maruti
213,Maruti Suzuki Wagon R,"66,113 km",Petrol,AMT,Rs. 3.95 Lakh,Mumbai,2016,Maruti
214,Hyundai New Santro,"28,683 km",Petrol,AMT,Rs. 4.85 Lakh,Mumbai,2018,Hyundai
215,Honda WR-V,"21,000 km",Petrol,Manual,Rs. 6.25 Lakh,Mumbai,2018,Honda
216,Maruti Suzuki Baleno,"27,021 km",Petrol,Automatic,Rs. 6.75 Lakh,Mumbai,2018,Maruti
217,Skoda Rapid,"9,638 km",Petrol,Automatic,Rs. 7.95 Lakh,Mumbai,2018,Skoda
218,Tata Altroz,"20,190 km",Petrol,Manual,Rs. 7.95 Lakh,Mumbai,2022,Tata
219,Honda WR-V,"20,840 km",Petrol,Manual,Rs. 8.25 Lakh,Mumbai,2020,Honda
220,Maruti Suzuki S-Cross,"22,485 km",Petrol,Automatic,Rs. 9.95 Lakh,Mumbai,2021,Maruti
221,Hyundai Venue,"23,683 km",Diesel,Manual,Rs. 10.95 Lakh,Mumbai,2021,Hyundai
222,Maruti Suzuki XL6,"21,577 km",Petrol,Automatic,Rs. 11.95 Lakh,Mumbai,2021,Maruti
223,Mahindra Marazzo,"7,798 km",Diesel,Manual,Rs. 13.75 Lakh,Mumbai,2022,Mahindra
224,Maruti Suzuki Wagon R,"47,847 km",Petrol+CNG,Manual,Rs. 3.45 Lakh,Mumbai,2014,Maruti
225,Maruti Suzuki Celerio,"31,527 km",Petrol,AMT,Rs. 3.9 Lakh,Mumbai,2014,Maruti
226,Maruti Suzuki S-Presso,"31,178 km",Petrol,Manual,Rs. 4.95 Lakh,Mumbai,2020,Maruti
227,Maruti Suzuki Baleno,"40,442 km",Petrol,Manual,Rs. 5.35 Lakh,Mumbai,2017,Maruti
228,Hyundai i20,"37,360 km",Petrol,Manual,Rs. 5.95 Lakh,Mumbai,2017,Hyundai
229,Honda BR-V,"40,995 km",Petrol,Manual,Rs. 7.25 Lakh,Mumbai,2017,Honda
230,Renault Kiger,"33,036 km",Petrol,AMT,Rs. 7.75 Lakh,Mumbai,2022,Renault
231,Honda WR-V,"41,845 km",Petrol,Manual,Rs. 7.75 Lakh,Mumbai,2018,Honda
232,Tata Nexon,"49,616 km",Petrol,Manual,Rs. 7.95 Lakh,Mumbai,2020,Tata
233,Hyundai Venue,"33,000 km",Petrol,Manual,Rs. 9.25 Lakh,Mumbai,2019,Hyundai
234,Hyundai Venue,"46,107 km",Petrol,Automatic,Rs. 10.65 Lakh,Mumbai,2021,Hyundai
235,Maruti Suzuki Swift DZire,"57,649 km",Petrol,Manual,Rs. 4.35 Lakh,Mumbai,2014,Maruti
236,Hyundai Xcent,0 km,Petrol,Manual,Rs. 4.75 Lakh,Mumbai,2015,Hyundai
237,Honda Jazz,"21,438 km",Petrol,Automatic,Rs. 5.65 Lakh,Mumbai,2016,Honda
238,Hyundai Grand i10,"59,982 km",Diesel,Manual,Rs. 5.65 Lakh,Mumbai,2017,Hyundai
239,Maruti Suzuki Swift,"7,00,000 km",Petrol,AMT,Rs. 5.85 Lakh,Mumbai,2018,Maruti
240,Honda Jazz,"54,767 km",Petrol,Automatic,Rs. 6.45 Lakh,Mumbai,2018,Honda
241,Honda Jazz,"24,772 km",Petrol,Automatic,Rs. 6.75 Lakh,Mumbai,2018,Honda
242,Renault Kiger,"27,277 km",Petrol,AMT,Rs. 6.95 Lakh,Mumbai,2021,Renault
243,Honda WR-V,"59,681 km",Diesel,Manual,Rs. 7.25 Lakh,Mumbai,2017,Honda
244,Ford EcoSport,"57,234 km",Petrol,Automatic,Rs. 7.45 Lakh,Mumbai,2018,Ford
245,Maruti Suzuki Ciaz,"67,000 km",Petrol,Manual,Rs. 7.75 Lakh,Mumbai,2018,Maruti
246,Tata Nexon,"52,912 km",Petrol,AMT,Rs. 8.15 Lakh,Mumbai,2018,Tata
247,Tata Nexon,"26,355 km",Petrol,AMT,Rs. 8.25 Lakh,Mumbai,2018,Tata
248,Maruti Suzuki Ciaz,"60,442 km",Petrol,Automatic,Rs. 8.65 Lakh,Mumbai,2019,Maruti
249,Maruti Suzuki Ciaz,"12,849 km",Petrol,Automatic,Rs. 8.75 Lakh,Mumbai,2018,Maruti
250,Honda City ZX,"60,236 km",Petrol,Automatic,Rs. 9.65 Lakh,Mumbai,2018,Honda
251,Datsun Go Plus,"47,235 km",Petrol,Manual,Rs. 2.75 Lakh,Mumbai,2016,Datsun
252,Volkswagen Polo,"49,229 km",Petrol,Manual,Rs. 4.25 Lakh,Mumbai,2015,Volkswagen
253,Honda Jazz,"47,649 km",Petrol,Automatic,Rs. 5.55 Lakh,Mumbai,2016,Honda
254,Hyundai Aura,"37,461 km",Petrol,AMT,Rs. 7 Lakh,Mumbai,2021,Hyundai
255,Tata Nexon,"48,233 km",Diesel,AMT,Rs. 8.25 Lakh,Mumbai,2018,Tata
256,Maruti Suzuki S-Presso,"14,769 km",Petrol,AMT,Rs. 4.45 Lakh,Mumbai,2020,Maruti
257,Hyundai Grand i10,"54,609 km",Petrol,Automatic,Rs. 4.55 Lakh,Mumbai,2015,Hyundai
258,Hyundai Elite i20,"70,000 km",Diesel,Manual,Rs. 4.8 Lakh,Mumbai,2016,Hyundai
259,Tata Tiago,"66,877 km",Petrol,AMT,Rs. 4.85 Lakh,Mumbai,2017,Tata
260,Hyundai i20,"75,457 km",Petrol,Manual,Rs. 5.15 Lakh,Mumbai,2015,Hyundai
261,Honda City,"71,826 km",Diesel,Manual,Rs. 5.35 Lakh,Mumbai,2014,Honda
262,Ford EcoSport,"50,232 km",Petrol,Automatic,Rs. 5.65 Lakh,Mumbai,2016,Ford
263,Tata Tigor,"5,340 km",Petrol,AMT,Rs. 6.15 Lakh,Mumbai,2018,Tata
264,Maruti Suzuki Baleno,"66,033 km",Petrol,Automatic,Rs. 6.25 Lakh,Mumbai,2017,Maruti
265,Volkswagen Vento,"28,278 km",Petrol,Automatic,Rs. 6.35 Lakh,Mumbai,2016,Volkswagen
266,Renault Duster,"68,167 km",Diesel,Manual,Rs. 6.85 Lakh,Mumbai,2016,Renault
267,Honda City,"52,699 km",Petrol,Automatic,Rs. 6.95 Lakh,Mumbai,2016,Honda
268,Maruti Suzuki Celerio,"5,128 km",Petrol,AMT,Rs. 7 Lakh,Mumbai,2023,Maruti
269,Renault Duster,"61,753 km",Diesel,Manual,Rs. 7.45 Lakh,Mumbai,2016,Renault
270,Maruti Suzuki Ertiga,"80,000 km",Petrol+CNG,Manual,Rs. 7.5 Lakh,Mumbai,2016,Maruti
271,Honda City ZX,"53,740 km",Petrol,Automatic,Rs. 8.25 Lakh,Mumbai,2017,Honda
272,Hyundai Creta,"64,829 km",Petrol,Automatic,Rs. 8.95 Lakh,Mumbai,2017,Hyundai
273,Maruti Suzuki Vitara Brezza,"26,419 km",Diesel,AMT,Rs. 9.15 Lakh,Mumbai,2018,Maruti
274,Toyota Corolla Altis,"76,225 km",Diesel,Manual,Rs. 9.25 Lakh,Mumbai,2016,Toyota
275,Hyundai Creta,"51,651 km",Petrol,Manual,Rs. 9.65 Lakh,Mumbai,2018,Hyundai
276,Skoda Octavia,"62,486 km",Petrol,Automatic,Rs. 9.65 Lakh,Mumbai,2016,Skoda
277,Mahindra XUV300,"11,801 km",Diesel,Manual,Rs. 10.45 Lakh,Mumbai,2022,Mahindra
278,Hyundai Creta,"54,284 km",Diesel,Automatic,Rs. 10.75 Lakh,Mumbai,2017,Hyundai
279,Mahindra XUV500,"87,520 km",Diesel,Manual,Rs. 14.65 Lakh,Mumbai,2019,Mahindra
280,Skoda Superb,"57,417 km",Diesel,Automatic,Rs. 17.65 Lakh,Mumbai,2016,Skoda
281,BMW X1,"98,000 km",Diesel,Automatic,Rs. 17.75 Lakh,Mumbai,2016,BMW
282,Mercedes-Benz GL-Class,"71,518 km",Diesel,Automatic,Rs. 35.5 Lakh,Mumbai,2015,Mercedes-Benz
283,Renault Kwid,"40,104 km",Petrol,AMT,Rs. 3.65 Lakh,Mumbai,2017,Renault
284,Honda Amaze,"33,100 km",Petrol,Manual,Rs. 4.25 Lakh,Mumbai,2016,Honda
285,Maruti Suzuki Celerio,"42,460 km",Petrol+CNG,Manual,Rs. 4.9 Lakh,Mumbai,2018,Maruti
286,Maruti Suzuki Celerio,"38,338 km",Petrol,AMT,Rs. 5.35 Lakh,Mumbai,2018,Maruti
287,Renault Duster,"32,147 km",Diesel,Manual,Rs. 5.75 Lakh,Mumbai,2015,Renault
288,Hyundai i20,"39,436 km",Petrol,Manual,Rs. 5.95 Lakh,Mumbai,2016,Hyundai
289,Volkswagen Vento,"48,090 km",Petrol,Automatic,Rs. 6.35 Lakh,Mumbai,2015,Volkswagen
290,Hyundai Grand i10,"32,361 km",Petrol,Automatic,Rs. 6.45 Lakh,Mumbai,2019,Hyundai
291,Tata Nexon,"32,535 km",Diesel,AMT,Rs. 7.65 Lakh,Mumbai,2018,Tata
292,Honda City,"43,620 km",Petrol,Automatic,Rs. 7.75 Lakh,Mumbai,2017,Honda
293,Maruti Suzuki Vitara Brezza,"49,313 km",Diesel,Manual,Rs. 7.75 Lakh,Mumbai,2018,Maruti
294,Tata Nexon,"41,125 km",Petrol,Manual,Rs. 9.45 Lakh,Mumbai,2019,Tata
295,Honda City,"34,093 km",Petrol,Manual,Rs. 10.8 Lakh,Mumbai,2020,Honda
296,Hyundai Creta,"44,355 km",Petrol,Automatic,Rs. 11.35 Lakh,Mumbai,2018,Hyundai
297,Hyundai Xcent,"49,029 km",Petrol,Manual,Rs. 5.45 Lakh,Mumbai,2017,Hyundai
298,Honda City,"33,889 km",Petrol,Automatic,Rs. 8.2 Lakh,Mumbai,2019,Honda
299,Maruti Suzuki Swift DZire,"67,944 km",Petrol,AMT,Rs. 3.95 Lakh,Mumbai,2012,Maruti
300,Volkswagen Vento,"79,906 km",Petrol,Automatic,Rs. 4.55 Lakh,Mumbai,2014,Volkswagen
301,Volkswagen Polo,"83,906 km",Petrol,Manual,Rs. 4.75 Lakh,Mumbai,2014,Volkswagen
302,Ford EcoSport,"53,037 km",Petrol,Automatic,Rs. 5.1 Lakh,Mumbai,2014,Ford
303,Ford Freestyle,"50,873 km",Petrol,Manual,Rs. 5.45 Lakh,Mumbai,2018,Ford
304,Hyundai Verna,"54,375 km",Petrol,Automatic,Rs. 5.95 Lakh,Mumbai,2015,Hyundai
305,Volkswagen Ameo,"50,013 km",Diesel,Manual,Rs. 6.25 Lakh,Mumbai,2016,Volkswagen
306,Hyundai Verna,"60,085 km",Petrol,Automatic,Rs. 6.75 Lakh,Mumbai,2016,Hyundai
307,Honda BR-V,"58,172 km",Petrol,Automatic,Rs. 6.85 Lakh,Mumbai,2016,Honda
308,Maruti Suzuki Vitara Brezza,"70,638 km",Diesel,Manual,Rs. 7.9 Lakh,Mumbai,2019,Maruti
309,Hyundai Creta,"75,213 km",Petrol,Manual,Rs. 7.95 Lakh,Mumbai,2016,Hyundai
310,Hyundai Venue,"60,000 km",Petrol,Manual,Rs. 8.5 Lakh,Mumbai,2019,Hyundai
311,Hyundai Creta,"56,769 km",Petrol,Automatic,Rs. 8.55 Lakh,Mumbai,2016,Hyundai
312,Hyundai Creta,"59,478 km",Petrol,Manual,Rs. 8.55 Lakh,Mumbai,2017,Hyundai
313,Hyundai Creta,"65,657 km",Petrol,Automatic,Rs. 8.65 Lakh,Mumbai,2016,Hyundai
314,Tata Nexon EV,"17,831 km",Electric,Automatic,Rs. 11.25 Lakh,Mumbai,2022,Tata
315,Kia Seltos,"58,246 km",Petrol,Automatic,Rs. 12.95 Lakh,Mumbai,2019,Kia
316,Mercedes-Benz M-Class,"98,774 km",Diesel,Automatic,Rs. 21.75 Lakh,Mumbai,2015,Mercedes-Benz
317,Toyota Innova Crysta,"59,088 km",Diesel,Manual,Rs. 22 Lakh,Mumbai,2021,Toyota
318,Honda City,"36,155 km",Petrol,Manual,Rs. 9.95 Lakh,Mumbai,2020,Honda
319,Nissan Terrano,"88,017 km",Diesel,Manual,Rs. 4.75 Lakh,Mumbai,2013,Nissan
320,Skoda Rapid,"78,107 km",Petrol,Automatic,Rs. 5.25 Lakh,Mumbai,2015,Skoda
321,Skoda Rapid,"63,333 km",Diesel,Manual,Rs. 5.35 Lakh,Mumbai,2015,Skoda
322,Ford EcoSport,"66,129 km",Petrol,Automatic,Rs. 5.65 Lakh,Mumbai,2015,Ford
323,Maruti Suzuki Ciaz,"74,651 km",Diesel,Manual,Rs. 6.25 Lakh,Mumbai,2016,Maruti
324,Hyundai Verna,"52,215 km",Diesel,Automatic,Rs. 6.45 Lakh,Mumbai,2016,Hyundai
325,Renault Duster,"62,140 km",Diesel,AMT,Rs. 7.75 Lakh,Mumbai,2017,Renault
326,Maruti Suzuki Ertiga,"53,081 km",Diesel,Manual,Rs. 8.15 Lakh,Mumbai,2016,Maruti
327,Toyota Corolla Altis,"63,503 km",Petrol,Automatic,Rs. 10.35 Lakh,Mumbai,2018,Toyota
328,Maruti Suzuki Dzire,"59,485 km",Petrol,AMT,Rs. 5.8 Lakh,Mumbai,2017,Maruti
329,Skoda Rapid,"38,104 km",Petrol,Automatic,Rs. 6.45 Lakh,Mumbai,2016,Skoda
330,Mahindra Bolero,"17,000 km",Diesel,Manual,Rs. 10.15 Lakh,Bangalore,2022,Mahindra
331,Maruti Suzuki Wagon R,"46,400 km",Petrol,Manual,Rs. 3.95 Lakh,Bangalore,2014,Maruti
332,Maruti Suzuki Alto K10,"29,026 km",Petrol,AMT,Rs. 3.75 Lakh,Bangalore,2016,Maruti
333,Maruti Suzuki Celerio,"28,800 km",Petrol,AMT,Rs. 4.65 Lakh,Bangalore,2015,Maruti
334,Tata Tiago,"29,439 km",Petrol,Manual,Rs. 5.25 Lakh,Bangalore,2017,Tata
335,Maruti Suzuki Swift,"65,450 km",Petrol,Manual,Rs. 5.85 Lakh,Bangalore,2018,Maruti
336,Maruti Suzuki Swift DZire,"53,300 km",Petrol,Manual,Rs. 6.45 Lakh,Bangalore,2018,Maruti
337,Citroen C3,"22,210 km",Petrol,Manual,Rs. 6.45 Lakh,Bangalore,2022,Citroen
338,Renault Triber,"21,249 km",Petrol,Manual,Rs. 6.95 Lakh,Bangalore,2019,Renault
339,Toyota Glanza,"23,600 km",Petrol,Automatic,Rs. 7.95 Lakh,Bangalore,2019,Toyota
340,Tata Nexon,"9,686 km",Petrol,AMT,Rs. 9 Lakh,Bangalore,2019,Tata
341,Mahindra Thar,"16,353 km",Petrol,Manual,Rs. 16.25 Lakh,Bangalore,2022,Mahindra
342,Hyundai Alcazar,"28,015 km",Petrol,Manual,Rs. 16.5 Lakh,Bangalore,2022,Hyundai
343,Mahindra Scorpio Classic,"13,568 km",Diesel,Manual,Rs. 18 Lakh,Bangalore,2023,Mahindra
344,Mahindra Scorpio-N,"13,786 km",Diesel,Manual,Rs. 25 Lakh,Bangalore,2022,Mahindra
345,Renault Kwid,"49,990 km",Petrol,Manual,Rs. 3.45 Lakh,Bangalore,2016,Renault
346,Maruti Suzuki Celerio,"31,200 km",Petrol,AMT,Rs. 4.3 Lakh,Bangalore,2016,Maruti
347,Hyundai Grand i10,"32,758 km",Petrol,Manual,Rs. 4.9 Lakh,Bangalore,2017,Hyundai
348,Maruti Suzuki Swift DZire,"31,944 km",Petrol,Manual,Rs. 5.25 Lakh,Bangalore,2015,Maruti
349,Tata Tiago,"34,709 km",Petrol,Manual,Rs. 5.35 Lakh,Bangalore,2018,Tata
350,Honda Jazz,"48,787 km",Petrol,Manual,Rs. 5.45 Lakh,Bangalore,2017,Honda
351,Tata Tiago,"43,700 km",Diesel,Manual,Rs. 5.85 Lakh,Bangalore,2018,Tata
352,Honda Jazz,"40,700 km",Petrol,Manual,Rs. 5.9 Lakh,Bangalore,2015,Honda
353,Volkswagen Polo,"47,538 km",Petrol,Manual,Rs. 6 Lakh,Bangalore,2016,Volkswagen
354,Hyundai i20 Active,"36,460 km",Petrol,Manual,Rs. 6.25 Lakh,Bangalore,2016,Hyundai
355,Tata Tigor,"42,050 km",Petrol,AMT,Rs. 6.35 Lakh,Bangalore,2018,Tata
356,Tata Tiago,"31,500 km",Petrol,AMT,Rs. 6.75 Lakh,Bangalore,2019,Tata
357,Tata Tiago,"37,600 km",Petrol,AMT,Rs. 6.95 Lakh,Bangalore,2020,Tata
358,Mahindra TUV300,"48,750 km",Diesel,AMT,Rs. 7.25 Lakh,Bangalore,2017,Mahindra
359,Tata Altroz,"31,195 km",Petrol,Manual,Rs. 7.95 Lakh,Bangalore,2021,Tata
360,Hyundai Elite i20,"39,192 km",Petrol,Automatic,Rs. 7.95 Lakh,Bangalore,2019,Hyundai
361,Hyundai Venue,"31,801 km",Petrol,Manual,Rs. 8.25 Lakh,Bangalore,2020,Hyundai
362,Hyundai Creta,"36,680 km",Petrol,Manual,Rs. 9.75 Lakh,Bangalore,2016,Hyundai
363,Mahindra Thar,"32,000 km",Diesel,Manual,Rs. 16.5 Lakh,Bangalore,2022,Mahindra
364,Mahindra XUV700,"32,145 km",Petrol,Automatic,Rs. 25 Lakh,Bangalore,2022,Mahindra
365,Mahindra XUV700,"32,000 km",Petrol,Automatic,Rs. 25 Lakh,Bangalore,2022,Mahindra
366,Hyundai Grand i10,"53,285 km",Petrol,Automatic,Rs. 5.35 Lakh,Bangalore,2017,Hyundai
367,Volkswagen Ameo,"54,525 km",Petrol,Manual,Rs. 6.15 Lakh,Bangalore,2019,Volkswagen
368,Hyundai Elite i20,"82,848 km",Diesel,Manual,Rs. 6.4 Lakh,Bangalore,2018,Hyundai
369,Hyundai Elite i20,"62,710 km",Petrol,Manual,Rs. 6.45 Lakh,Bangalore,2017,Hyundai
370,Tata Altroz,"64,459 km",Petrol,Manual,Rs. 7.25 Lakh,Bangalore,2021,Tata
371,Tata Nexon,"54,767 km",Petrol,AMT,Rs. 7.95 Lakh,Bangalore,2019,Tata
372,Maruti Suzuki S-Cross,"51,737 km",Diesel,Manual,Rs. 8.45 Lakh,Bangalore,2017,Maruti
373,Maruti Suzuki Vitara Brezza,"81,451 km",Diesel,Manual,Rs. 8.75 Lakh,Bangalore,2017,Maruti
374,Hyundai Creta,"57,093 km",Petrol,Automatic,Rs. 11.25 Lakh,Bangalore,2018,Hyundai
375,Honda Jazz,"32,051 km",Diesel,Manual,Rs. 5.75 Lakh,Bangalore,2016,Honda
376,Honda Jazz,"47,660 km",Petrol,Automatic,Rs. 6.55 Lakh,Bangalore,2016,Honda
377,Renault Triber,"32,485 km",Petrol,Manual,Rs. 6.85 Lakh,Bangalore,2019,Renault
378,Maruti Suzuki Swift,"42,404 km",Petrol,AMT,Rs. 6.95 Lakh,Bangalore,2018,Maruti
379,Maruti Suzuki Ertiga,"42,217 km",Petrol,Manual,Rs. 7.75 Lakh,Bangalore,2017,Maruti
380,Tata Nano,"17,000 km",Petrol,AMT,Rs. 2.8 Lakh,Bangalore,2016,Tata
381,Nissan Micra Active,"17,511 km",Petrol,Manual,Rs. 3.75 Lakh,Bangalore,2015,Nissan
